scenarios,locs,techs,carriers,units,flow_out_sum
131,PRT_1,hydro_reservoir,electricity,kilowatt hour,2172504984.7118134
131,PRT_2,hydro_reservoir,electricity,kilowatt hour,395126149.8080873
131,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2250836742.128276
131,PRT_2,hydro_run_of_river,electricity,kilowatt hour,351109843.4440627
131,PRT_1,methane_boiler,heat,megajoule,11350698.98520096
131,PRT_2,methane_boiler,heat,megajoule,14896256.993353441
131,PRT_1,methane_storage,methane,unit,2829.1057831125813
131,PRT_2,methane_storage,methane,unit,2855.664324657265
131,PRT_1,open_field_pv,electricity,kilowatt hour,72809984705.1169
131,PRT_1,pumped_hydro,electricity,kilowatt hour,6941431128.220124
131,PRT_2,pumped_hydro,electricity,kilowatt hour,998912667.7808691
131,PRT_1,roof_mounted_pv,electricity,kilowatt hour,39240293.505244896
131,PRT_1,waste_supply,waste,kilowatt hour,1029739290.4206321
131,PRT_2,waste_supply,waste,kilowatt hour,1007825012.0486639
131,PRT_1,wind_offshore,electricity,kilowatt hour,44159041.3991539
131,PRT_1,wind_onshore,electricity,kilowatt hour,80783441290.48991
132,PRT_1,battery,electricity,kilogram,3104709883.3235397
132,PRT_2,battery,electricity,kilogram,4961714236.380692
132,PRT_1,biofuel_boiler,heat,megajoule,134960440.04312006
132,PRT_2,biofuel_boiler,heat,megajoule,643289709.7459753
132,PRT_1,biofuel_supply,biofuel,kilogram,317884230.6628915
132,PRT_2,biofuel_supply,biofuel,kilogram,1146300777.9813197
132,PRT_1,biofuel_to_diesel,diesel,kilogram,146435810.44097525
132,PRT_2,biofuel_to_diesel,diesel,kilogram,140459219.08140746
132,PRT_1,biofuel_to_methane,methane,cubic meter,12024721.967329837
132,PRT_2,biofuel_to_methane,methane,cubic meter,978918.6371618143
132,PRT_1,biofuel_to_methanol,methanol,kilogram,9070757.043573456
132,PRT_2,biofuel_to_methanol,methanol,kilogram,803258797.0858213
132,PRT_1,ccgt,electricity,kilowatt hour,18652421.1546782
132,PRT_2,ccgt,electricity,kilowatt hour,20948966.4968375
132,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,84185084.7730667
132,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,175143130.3540555
132,PRT_1,chp_hydrogen,electricity,kilowatt hour,139482004.6308156
132,PRT_2,chp_hydrogen,electricity,kilowatt hour,143849103.2019362
132,PRT_1,chp_methane_extraction,electricity,kilowatt hour,67459860.8817585
132,PRT_2,chp_methane_extraction,electricity,kilowatt hour,75933109.2610886
132,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,240223873.2469528
