spores,techs,locs,carriers,unit,flow_out_sum
113,demand_industry_methanol,PRT_1,methanol,twh,
113,demand_industry_methanol,PRT_2,methanol,twh,
113,demand_light_transport,PRT_1,transport,billion_km,
113,demand_light_transport,PRT_2,transport,billion_km,
113,el_export,ESP-sink,electricity,twh,
113,el_import,ESP-sink,electricity,twh,9.12801162053399
113,electric_heater,PRT_1,electricity,twh,
113,electric_heater,PRT_1,heat,twh,0.19449911506568177
113,electric_heater,PRT_2,electricity,twh,
113,electric_heater,PRT_2,heat,twh,0.2132262454746242
113,electric_hob,PRT_1,cooking,twh,2.3883687829409155
113,electric_hob,PRT_1,electricity,twh,
113,electric_hob,PRT_2,cooking,twh,2.6063268966696578
113,electric_hob,PRT_2,electricity,twh,
113,electrolysis,PRT_1,electricity,twh,
113,electrolysis,PRT_1,hydrogen,twh,0.012806065469280713
113,electrolysis,PRT_2,electricity,twh,
113,electrolysis,PRT_2,hydrogen,twh,46.83435723232495
113,existing_pv,PRT-10_1,electricity,twh,0.26675738352353284
113,existing_pv,PRT-12_1,electricity,twh,0.12307814774693077
113,existing_pv,PRT-15_1,electricity,twh,0.2703329258305276
113,existing_pv,PRT-3_1,electricity,twh,0.7276506800494309
113,existing_pv,PRT-9_1,electricity,twh,0.13411886943641196
113,existing_wind,PRT-10_1,electricity,twh,0.32501761184103617
113,existing_wind,PRT-11_1,electricity,twh,1.4662395411688993
113,existing_wind,PRT-12_1,electricity,twh,0.3317238024390051
113,existing_wind,PRT-15_1,electricity,twh,0.307580142986853
113,existing_wind,PRT-16_1,electricity,twh,0.07557320149405944
113,existing_wind,PRT-17_1,electricity,twh,0.2761693008694819
113,existing_wind,PRT-18_1,electricity,twh,2.4518163624701677
113,existing_wind,PRT-19_1,electricity,twh,2.0186474397618936
113,existing_wind,PRT-1_1,electricity,twh,9.999212024167394e-06
113,existing_wind,PRT-20_1,electricity,twh,2.345122813396777
113,existing_wind,PRT-3_1,electricity,twh,0.464407416841765
113,existing_wind,PRT-4_1,electricity,twh,1.001239412025913
113,existing_wind,PRT-5_1,electricity,twh,0.4739246813124828
113,existing_wind,PRT-6_1,electricity,twh,2.048653495532962
113,existing_wind,PRT-7_1,electricity,twh,1.4289446558866077
113,existing_wind,PRT-9_1,electricity,twh,0.8581743711046905
113,gas_hob,PRT_1,cooking,twh,0.00885593798200146
113,gas_hob,PRT_1,methane,twh,
